category,method,path,base_url,summary,tags,deprecated,official_docs
partner-api,POST,/v2/businesses/{businessId}/bids/info,https://api.partner.market.yandex.ru,Информация об установленных ставках,bids; dbs; fbs; fby; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/bids/recommendations,https://api.partner.market.yandex.ru,Рекомендованные ставки для заданных товаров,bids; dbs; fbs; fby; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/businesses/{businessId}/chat,https://api.partner.market.yandex.ru,Получение чата по идентификатору,chats; dbs; fbs; fby; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/chats,https://api.partner.market.yandex.ru,Получение доступных чатов,chats; dbs; fbs; fby; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/chats/file/send,https://api.partner.market.yandex.ru,Отправка файла в чат,chats; dbs; fbs; fby; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/chats/history,https://api.partner.market.yandex.ru,Получение истории сообщений в чате,chats; dbs; fbs; fby; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/businesses/{businessId}/chats/message,https://api.partner.market.yandex.ru,Получение сообщения в чате,chats; dbs; fbs; fby; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/chats/message,https://api.partner.market.yandex.ru,Отправка сообщения в чат,chats; dbs; fbs; fby; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/chats/new,https://api.partner.market.yandex.ru,Создание нового чата с покупателем,chats; dbs; fbs; fby; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/goods-feedback,https://api.partner.market.yandex.ru,Получение отзывов о товарах продавца,goods-feedback; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/goods-feedback/comments,https://api.partner.market.yandex.ru,Получение комментариев к отзыву,goods-feedback; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/goods-feedback/comments/delete,https://api.partner.market.yandex.ru,Удаление комментария к отзыву,goods-feedback; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
