category,method,path,base_url,summary,tags,deprecated,official_docs
seller,POST,/v1/carriage/container/fill,https://api-seller.ozon.ru,Наполнить грузоместо отправлениями,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/container/get,https://api-seller.ozon.ru,Получить информацию о грузоместах,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/container/label/get,https://api-seller.ozon.ru,Получить этикетку по грузоместам,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/container/list,https://api-seller.ozon.ru,Получить список грузомест,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/container/place-into,https://api-seller.ozon.ru,Разместить коробки на палете,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/container/remove-from,https://api-seller.ozon.ru,Убрать коробки с палеты,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/container/remove-postings,https://api-seller.ozon.ru,Убрать отправления из грузоместа,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/container/status/get,https://api-seller.ozon.ru,Получить статус грузомест FBS,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/container/task/info,https://api-seller.ozon.ru,Получить статус задачи грузового места,CarriageAPI; Работа с грузоместами FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/courier-contact/get,https://api-seller.ozon.ru,Получить контактные данные продавца для курьера,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/courier-contact/set,https://api-seller.ozon.ru,Добавить или обновить контактные данные продавца для курьера,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/create,https://api-seller.ozon.ru,Создание отгрузки,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/delivery/list,https://api-seller.ozon.ru,Список методов доставки и отгрузок,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/ettn/status,https://api-seller.ozon.ru,Получить статус проверки электронной ТТН на прослеживаемой перевозке FBS,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/get,https://api-seller.ozon.ru,Информация о перевозке,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/pass/create,https://api-seller.ozon.ru,Создать пропуск,Pass; Пропуски,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/pass/delete,https://api-seller.ozon.ru,Удалить пропуск,Pass; Пропуски,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/pass/update,https://api-seller.ozon.ru,Обновить пропуск,Pass; Пропуски,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/carriage/set-postings,https://api-seller.ozon.ru,Изменение состава отгрузки,DeliveryFBS; Доставка FBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/chat/send/file,https://api-seller.ozon.ru,Отправить файл,ChatAPI; Чаты с покупателями,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/chat/send/message,https://api-seller.ozon.ru,Отправить сообщение,Premium; Premium-методы,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/chat/start,https://api-seller.ozon.ru,Создать новый чат,Premium; Premium-методы,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/cluster/list,https://api-seller.ozon.ru,Информация о кластерах и их складах,FboSupplyRequest; Создание и управление заявками на поставку FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/delivery-method/list,https://api-seller.ozon.ru,Список методов доставки склада,WarehouseAPI; Работа со складами FBS и rFBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/delivery-method/return/settings/get,https://api-seller.ozon.ru,Получить информацию по возвратным настройкам rFBS и rFBS Express,WarehouseAPI; Работа со складами FBS и rFBS,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/delivery/check,https://api-seller.ozon.ru,Проверить доступность доставки для покупателя,DeliveryAPI; Доставка,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/delivery/map,https://api-seller.ozon.ru,Отрисовать точки на карте,DeliveryAPI; Доставка,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/delivery/point/info,https://api-seller.ozon.ru,Получить информацию о точке самовывоза,DeliveryAPI; Доставка,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/delivery/point/list,https://api-seller.ozon.ru,Получить список точек самовывоза,DeliveryAPI; Доставка,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/description-category/attribute,https://api-seller.ozon.ru,Список характеристик категории,CategoryAPI; Атрибуты и характеристики Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/description-category/attribute/values,https://api-seller.ozon.ru,Справочник значений характеристики,CategoryAPI; Атрибуты и характеристики Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/description-category/attribute/values/search,https://api-seller.ozon.ru,Поиск по справочным значениям характеристики,CategoryAPI; Атрибуты и характеристики Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/description-category/tree,https://api-seller.ozon.ru,Дерево категорий и типов товаров,CategoryAPI; Атрибуты и характеристики Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/draft/crossdock/create,https://api-seller.ozon.ru,Создать черновик заявки на поставку кросс-докингом,FboSupplyRequest; Создание и управление заявками на поставку FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/draft/direct/create,https://api-seller.ozon.ru,Создать черновик заявки на прямую поставку,FboSupplyRequest; Создание и управление заявками на поставку FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/draft/multi-cluster/create,https://api-seller.ozon.ru,Создать черновик заявки на поставку для нескольких кластеров,FboSupplyRequest; Создание и управление заявками на поставку FBO,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/act-from/create,https://api-seller.ozon.ru,Сгенерировать акт приёмки,DeliveryFBP; Работа с созданной поставкой FBP,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/act-from/get,https://api-seller.ozon.ru,Получить статус генерации акта приёмки,DeliveryFBP; Работа с созданной поставкой FBP,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/act-to/create,https://api-seller.ozon.ru,Сгенерировать транспортную накладную,DeliveryFBP; Работа с созданной поставкой FBP,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/act-to/get,https://api-seller.ozon.ru,Получить статус генерации транспортной накладной,DeliveryFBP; Работа с созданной поставкой FBP,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/archive/get,https://api-seller.ozon.ru,Получить информацию о завершённой поставке,DeliveryFBP; Работа с созданной поставкой FBP,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/archive/list,https://api-seller.ozon.ru,Получить список завершённых поставок,DeliveryFBP; Работа с созданной поставкой FBP,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/draft/direct/create,https://api-seller.ozon.ru,Создать черновик заявки на поставку без указания способа доставки,DraftDirectFBP; Работа с FBP-черновиками с доставкой direct,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/draft/direct/delete,https://api-seller.ozon.ru,Удалить черновик заявки на поставку,DraftDirectFBP; Работа с FBP-черновиками с доставкой direct,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/draft/direct/product/validate,https://api-seller.ozon.ru,Проверить список товаров для склада партнёра,DraftDirectFBP; Работа с FBP-черновиками с доставкой direct,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/draft/direct/registrate,https://api-seller.ozon.ru,Перевести черновик в действующую поставку,DraftDirectFBP; Работа с FBP-черновиками с доставкой direct,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/draft/direct/seller-dlv/create,https://api-seller.ozon.ru,Создать черновик с доставкой силами продавца,DraftDirectFBP; Работа с FBP-черновиками с доставкой direct,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/draft/direct/seller-dlv/edit,https://api-seller.ozon.ru,Обновить информацию о доставке силами продавца в черновике,DraftDirectFBP; Работа с FBP-черновиками с доставкой direct,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/draft/direct/timeslot/edit,https://api-seller.ozon.ru,Отредактировать таймслот в черновике,DraftDirectFBP; Работа с FBP-черновиками с доставкой direct,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/draft/direct/timeslot/get,https://api-seller.ozon.ru,Получить список таймслотов для прямой поставки,DraftDirectFBP; Работа с FBP-черновиками с доставкой direct,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/draft/direct/tpl-dlv/create,https://api-seller.ozon.ru,Создать черновик заявки на доставку сторонней транспортной компанией,DraftDirectFBP; Работа с FBP-черновиками с доставкой direct,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/fbp/draft/direct/tpl-dlv/edit,https://api-seller.ozon.ru,Редактировать черновик поставки со способом доставки сторонней транспортной компанией,DraftDirectFBP; Работа с FBP-черновиками с доставкой direct,False,https://docs.ozon.ru/api/seller/
